No,チャプター,質問,解答
1,古代オリエント,ラテン語で日の昇るところという意味のエジプトから西アジアにかけての地域のことを何と言うか,オリエント
2,古代オリエント,川の間地域という意味でティグリス・ユーフラテス川の流れる地域を何というか,メソポタミア
3,古代オリエント,民族系統不明で紀元前3000年くらいにメソポタミア南部にもっとも早く都市国家を作った民族を何と言うか,シュメール人
4,古代オリエント,シュメール人が粘土板に刻んで使用した文字を何というか,楔形文字
5,古代オリエント,紀元前18世紀頃メソポタミアを征服しバビロン第一王朝に最盛期をもたらした六代目の王は誰か,ハンムラビ王
6,古代オリエント,紀元前18世紀にアナトリアを支配し世界最古の鉄製武器と戦車によってバビロン第一王朝を滅ぼした民族を何と言うか,ヒッタイト
7,古代オリエント,アトンを唯一神とする宗教改革を断行し自らをアクエンアテンと称してテル・エル・アマルナに遷都したエジプト新王国時代の王を何と言うか,アメンホテプ4世
8,古代オリエント,古代エジプト人がミイラと共に副葬した死後の世界への案内書を何というか,死者の書
9,古代オリエント,古代エジプト人がナイル川の氾濫をもとに作成した暦を何というか,太陽暦
10,古代オリエント,古代エジプト人が使用した象形文字で碑文墓などに刻まれた最初のエジプト文字を何と言うか,神聖文字
11,古代オリエント,神聖文字解読のきっかけとなったナポレオンのエジプト遠征中に発見された石碑を何というか,ロゼッタストーン
12,古代オリエント,紀元前13世紀末から紀元前12世紀初めに東地中海全域で活動しヒッタイトを滅ぼしてエジプトを衰退させた諸民族の集団を何というか,海の民
13,古代オリエント,古代オリエントでシリアに多くの都市国家を作りダマスクスを中心に陸上の中継貿易に活躍したセム系遊牧民を何というか,アラム人
14,古代オリエント,紀元前12世紀以降地中海貿易を独占しシドン・ティルスなどの都市国家を建設したセム系民族を何と言うか,フェニキア人
15,古代オリエント,紀元前1500年頃パレスチナに定住したセム系の遊牧民を何と言うか,ヘブライ人
16,古代オリエント,紀元前13世紀頃ヘブライ人はエジプト新王国からの脱出通称出エジプトでパレスチナに移ったその時の指導者は誰か,モーセ
